"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.287108929E2,5.162310833E1,6.974443660E0,4.276411770E1,8.749633789E1,1.000000000E0,1.553999939E2,3.125564591E-2,3.997261763E0,3.574048758E0,2.400000000E1
1.297109584E2,5.162310208E1,6.974450360E0,4.262932855E1,8.736157227E1,5.699999928E-1,1.315000000E2,3.219543267E-2,4.115269661E0,3.667294502E0,2.400000000E1
1.307104115E2,5.162310350E1,6.974463780E0,4.226952045E1,8.700177002E1,9.599999785E-1,6.250000000E1,3.256305924E-2,4.137445450E0,3.730305433E0,2.400000000E1
1.317114273E2,5.162310203E1,6.974468550E0,4.386149251E1,8.859375000E1,0.000000000E0,0.000000000E0,3.374164353E-2,4.047240257E0,3.606285810E0,2.400000000E1
1.327124139E2,5.162309559E1,6.974482110E0,4.353474210E1,8.826702881E1,1.000000000E0,1.043000031E2,3.475409529E-2,4.130836010E0,3.701065302E0,2.300000000E1
1.337120714E2,5.162308832E1,6.974490940E0,4.427140830E1,8.900372314E1,5.600000024E-1,1.248000031E2,3.612007317E-2,4.052867889E0,3.586265802E0,2.200000000E1
1.347157463E2,5.162307923E1,6.974504250E0,4.411567074E1,8.884802246E1,1.250000000E0,1.240000000E2,3.718683168E-2,4.205153465E0,3.774072409E0,2.300000000E1
1.357178436E2,5.162307484E1,6.974517990E0,4.466655077E1,8.939892578E1,7.500000000E-1,1.051999969E2,3.824571143E-2,4.267848969E0,4.060037613E0,2.300000000E1
1.367119054E2,5.162307452E1,6.974533320E0,4.494131861E1,8.967370605E1,8.500000238E-1,8.440000153E1,3.941961054E-2,4.337259769E0,4.099041939E0,2.300000000E1
1.377123009E2,5.162307395E1,6.974550300E0,4.554420947E1,9.027661133E1,8.199999928E-1,9.009999847E1,4.060071446E-2,4.333124161E0,4.059998989E0,2.200000000E1
1.387099040E2,5.162307457E1,6.974567380E0,4.480701589E1,8.953942871E1,7.900000215E-1,8.940000153E1,4.128734507E-2,4.326660156E0,4.068471432E0,2.200000000E1
1.397104000E2,5.162307837E1,6.974575220E0,4.583888162E1,9.057128906E1,5.500000119E-1,8.899999619E0,4.202661986E-2,4.107979298E0,3.754631281E0,2.300000000E1
1.407152754E2,5.162308501E1,6.974574680E0,4.608835236E1,9.082073975E1,5.600000024E-1,3.526000061E2,4.309903353E-2,3.826560020E0,3.328412056E0,2.200000000E1
1.417100305E2,5.162309464E1,6.974575530E0,4.640960825E1,9.114196777E1,9.200000167E-1,4.300000191E0,4.368100302E-2,3.790092468E0,3.251487494E0,2.200000000E1
1.427112977E2,5.162309889E1,6.974580450E0,4.680414840E1,9.153649902E1,6.200000048E-1,9.100000381E0,4.395322578E-2,3.790092468E0,3.151188612E0,2.200000000E1
1.437107885E2,5.162309936E1,6.974584320E0,4.694037736E1,9.167272949E1,0.000000000E0,0.000000000E0,4.498740311E-2,3.790092468E0,2.913193226E0,2.200000000E1
1.447132887E2,5.162310267E1,6.974598320E0,4.682050362E1,9.155285645E1,9.499999881E-1,5.520000076E1,4.548935549E-2,3.790092468E0,2.687617302E0,2.200000000E1
1.457095512E2,5.162310204E1,6.974605520E0,4.680560378E1,9.153796387E1,0.000000000E0,0.000000000E0,4.558673712E-2,3.790092468E0,2.521927595E0,2.100000000E1
1.467121791E2,5.162310170E1,6.974606820E0,4.681573364E1,9.154809570E1,0.000000000E0,0.000000000E0,4.561675774E-2,3.790092468E0,2.606293917E0,2.300000000E1
1.477166841E2,5.162310163E1,6.974607240E0,4.681097237E1,9.154333496E1,0.000000000E0,0.000000000E0,4.562780307E-2,3.790092468E0,2.613865852E0,2.400000000E1
1.487172502E2,5.162310163E1,6.974607400E0,4.680932430E1,9.154168701E1,0.000000000E0,0.000000000E0,4.599990671E-2,3.790092468E0,2.596398354E0,2.400000000E1
1.497111572E2,5.162310474E1,6.974609390E0,4.638983739E1,9.112219238E1,2.199999988E-1,2.739999962E1,4.615633644E-2,3.790092468E0,2.726325512E0,2.400000000E1
