"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.351527155E2,5.162430231E1,6.974746070E0,3.383322119E1,7.856213379E1,0.000000000E0,0.000000000E0,8.065828973E-3,1.606391525E1,1.076686859E1,9.000000000E0
1.361558314E2,5.162430186E1,6.974747360E0,3.419119009E1,7.892010498E1,0.000000000E0,0.000000000E0,8.068179557E-3,1.466061020E1,9.575658798E0,9.000000000E0
1.371494585E2,5.162430187E1,6.974747330E0,3.418319453E1,7.891210938E1,0.000000000E0,0.000000000E0,8.070250502E-3,1.400217533E1,8.572321892E0,1.000000000E1
1.381498758E2,5.162430187E1,6.974747360E0,3.415249383E1,7.888140869E1,0.000000000E0,0.000000000E0,8.078086893E-3,1.430637169E1,8.789160728E0,1.000000000E1
1.391485935E2,5.162430182E1,6.974747440E0,3.410751071E1,7.883642578E1,0.000000000E0,0.000000000E0,8.082228783E-3,1.529179764E1,9.799105644E0,8.000000000E0
1.401455716E2,5.162430182E1,6.974747500E0,3.412899504E1,7.885791016E1,0.000000000E0,0.000000000E0,8.087831221E-3,1.665350533E1,1.077751827E1,8.000000000E0
1.411459612E2,5.162430187E1,6.974747490E0,3.412667586E1,7.885559082E1,0.000000000E0,0.000000000E0,8.388711768E-3,1.815137482E1,1.161703682E1,7.000000000E0
1.421479808E2,5.162430448E1,6.974746340E0,3.397568347E1,7.870458984E1,0.000000000E0,0.000000000E0,8.389402083E-3,1.462041950E1,1.212894249E1,7.000000000E0
1.431491464E2,5.162430448E1,6.974746350E0,3.397611071E1,7.870501709E1,0.000000000E0,0.000000000E0,8.434303606E-3,1.391833878E1,1.170745277E1,7.000000000E0
1.441496136E2,5.162430431E1,6.974746940E0,3.406277968E1,7.879168701E1,0.000000000E0,0.000000000E0,8.434303606E-3,1.405583000E1,1.199732685E1,7.000000000E0
1.451487911E2,5.162430431E1,6.974746940E0,3.406638076E1,7.879528809E1,0.000000000E0,0.000000000E0,8.453219344E-3,1.423941040E1,1.205808544E1,9.000000000E0
1.461474479E2,5.162430448E1,6.974746930E0,3.405570012E1,7.878460693E1,0.000000000E0,0.000000000E0,8.462082992E-3,1.448209286E1,1.218709946E1,1.000000000E1
1.471502199E2,5.162430443E1,6.974747030E0,3.402402265E1,7.875292969E1,0.000000000E0,0.000000000E0,8.463391796E-3,1.467479992E1,1.214319897E1,1.100000000E1
1.481492493E2,5.162430444E1,6.974747020E0,3.398203050E1,7.871093750E1,0.000000000E0,0.000000000E0,8.465720370E-3,1.466012478E1,1.198631477E1,1.100000000E1
1.491491659E2,5.162430446E1,6.974747010E0,3.397226494E1,7.870117188E1,0.000000000E0,0.000000000E0,8.466410685E-3,1.417876816E1,1.081416512E1,1.100000000E1
